Date/Time,Word Count,de,en,es,fr,it,ja,ko,pl,pt,ru,th,tr,uk,zh,zh-Hans-CN-CNVER,zh-Hant
2025.06.25-17.00.05,312771,214964,215302,215458,214964,221981,214982,214986,221981,214964,215458,221981,221981,221981,312771,0,207958
2025.06.25-17.10.29,312771,215211,215549,215705,215211,221981,215229,215233,221981,215211,215705,221981,221981,221981,312771,0,208199
2025.06.27-14.55.56,313073,215211,215549,215705,215211,221981,215229,215233,221981,215211,215705,221981,221981,221981,313073,0,208199
2025.06.27-15.05.16,313073,216840,217178,217334,216840,221981,216858,216862,221981,216840,217334,221981,221981,221981,313073,0,209828
2025.07.15-10.43.22,338761,216440,216778,216934,216440,221533,216458,216462,221533,216440,216934,221533,221533,221533,338761,0,209428
2025.07.17-11.17.09,341367,216440,216778,216934,216440,221533,216458,216462,221533,216440,216934,221533,221533,221533,341367,0,209428
2025.07.17-11.37.58,341367,216471,216809,216965,216471,221533,216489,216493,221533,216471,216965,221533,221533,221533,341367,0,209459
2025.07.17-19.20.13,342128,216471,216809,216965,216471,221533,216489,216493,221533,216471,216965,221533,221533,221533,342128,0,209459
2025.07.22-12.39.27,344627,216471,216809,216965,216471,221399,216489,216493,221399,216471,216965,221399,221399,221399,344627,58,209459
2025.07.24-15.47.10,346039,216471,216809,216965,216471,221397,216489,216493,221397,216471,216965,221397,221397,221397,346039,58,209459
2025.07.25-10.18.31,346421,216471,216809,216965,216471,221397,216489,216493,221397,216471,216965,221397,221397,221397,346421,58,209459
2025.07.30-11.15.34,348072,216454,216792,216948,216454,221367,216472,216476,221367,216454,216948,221367,221367,221367,348072,58,209442
2025.08.15-18.22.14,358958,216117,216455,216611,216117,220913,216135,216139,220913,216117,216611,220913,220913,220913,358958,58,209105
2025.08.20-10.31.16,360363,216111,216449,216605,216111,220762,216129,216133,220762,216111,216605,220762,220762,220762,360363,58,209099
2025.08.20-10.51.00,360365,216111,216449,216605,216111,220760,216129,216133,220760,216111,216605,220760,220760,220760,360365,58,209099
2025.08.25-10.52.09,316241,186037,186260,186531,186037,189885,186055,186059,189885,186037,186531,189885,189885,189885,316241,58,179445
2025.08.25-12.18.49,316241,186051,186274,186545,186051,189885,186069,186073,189885,186051,186545,189885,189885,189885,316241,58,179574
2025.09.04-10.19.37,321867,185902,186125,186396,185902,189664,185920,185924,189664,185902,186396,189664,189664,189664,321867,58,179425
2025.10.20-20.53.41,411214,185131,185354,185621,185131,188754,185149,185153,188754,185131,185621,188754,188754,188754,411214,58,178644
2025.11.04-18.26.46,417673,184443,184666,184933,184443,187824,184461,184465,187824,184443,184933,187824,187824,187824,417673,58,177956
2025.11.06-16.29.30,417974,184349,184899,184839,184349,187730,184367,184371,187730,184349,184839,187730,187730,187730,417974,58,178189
2025.11.10-11.22.52,417972,184349,184899,184839,184349,187730,184367,184371,187730,184349,184839,187730,187730,187730,417972,58,178189
2025.11.13-20.42.06,418979,184322,184872,184812,184322,187703,184340,184344,187703,184322,184812,187703,187703,187703,418979,58,178162
2025.11.20-15.59.21,422051,184649,351168,185139,184649,187703,184667,184671,187703,184649,185139,187703,187703,187703,422051,58,178162
2025.11.24-11.02.56,422127,184649,351052,185139,184649,187703,184667,184671,187703,184649,185139,187703,187703,187703,422127,58,178162
2025.11.24-15.35.21,422141,184743,352874,185233,184743,187797,184761,184765,187797,184743,185233,187797,187797,187797,422141,58,178256
2025.11.26-14.12.09,422516,183451,349251,183941,183451,186402,183469,183473,186402,183451,183941,186402,186402,186402,422516,58,177051
2025.12.01-15.55.36,423521,183451,408368,183941,183451,186402,183469,183473,324354,183451,183941,323989,186402,186402,423521,58,177051
2025.12.08-12.29.30,422285,183339,402489,183829,183339,185827,183357,183361,319616,183339,183829,319251,185827,185827,422285,58,176939
2025.12.16-11.39.04,424786,210730,397206,211216,210748,185229,210729,210735,315426,210746,211223,315141,185229,185229,424786,58,204375
2025.12.31-16.16.36,433465,207735,389919,208089,207753,182919,207734,207740,308363,207751,208096,308144,182919,182919,433465,58,201248
2026.01.13-14.50.45,433044,330013,383073,330009,330033,182082,330012,330020,305214,330029,330016,305049,182082,182082,433044,58,233296
2026.01.17-14.31.01,439346,332327,385420,332349,332327,182071,332343,332349,304965,332327,332349,304800,182071,182071,439346,58,234920
